,query,value
0,covid,100
1,covid vaccine,96
2,vacina,64
3,pfizer,26
4,coronavirus,25
5,vaccine coronavirus,25
6,astrazeneca vaccine,23
7,astrazeneca,23
8,pfizer vaccine,22
9,vacina covid,20
10,oxford,20
11,oxford vaccine,18
12,covid 19 vaccine,17
13,vaccine care,13
14,vaccine tracker,12
15,covid brasil,11
16,covid-19 vaccine,11
17,coronavac vaccine,11
18,covid-19,11
19,coronavac,11
20,covid vaccine near me,8
21,astrazeneca covid vaccine,7
22,clinica vaccine,7
23,corona vaccine,7
24,vacine,7
